year,month,shop_id,item_category_id,item_cnt_day
2013,1,0,2,28.0
2013,1,0,3,18.0
2013,1,0,4,15.0
2013,1,0,5,14.0
2013,1,0,6,50.0
2013,1,0,11,13.0
2013,1,0,13,7.0
2013,1,0,14,4.0
2013,1,0,15,1.0
2013,1,0,19,227.0
2013,1,0,21,114.0
2013,1,0,22,38.0
2013,1,0,23,164.0
2013,1,0,25,19.0
2013,1,0,28,95.0
2013,1,0,29,8.0
2013,1,0,30,475.0
2013,1,0,33,1.0
2013,1,0,35,8.0
2013,1,0,37,216.0
2013,1,0,38,25.0
2013,1,0,40,1198.0
2013,1,0,41,60.0
2013,1,0,43,37.0
2013,1,0,45,7.0
2013,1,0,49,3.0
2013,1,0,55,304.0
2013,1,0,56,1.0
2013,1,0,57,50.0
2013,1,0,59,42.0
2013,1,0,60,1.0
2013,1,0,62,43.0
2013,1,0,63,21.0
2013,1,0,64,17.0
2013,1,0,65,39.0
2013,1,0,67,13.0
2013,1,0,69,3.0
2013,1,0,70,3.0
2013,1,0,72,8.0
2013,1,0,73,7.0
2013,1,0,75,102.0
2013,1,0,77,41.0
2013,1,0,81,20.0
2013,1,0,82,47.0
2013,1,0,83,19.0
2013,1,1,2,23.0
2013,1,1,3,7.0
2013,1,1,4,8.0
2013,1,1,5,4.0
2013,1,1,6,16.0
2013,1,1,11,7.0
2013,1,1,15,6.0
2013,1,1,19,97.0
2013,1,1,21,90.0
2013,1,1,22,19.0
2013,1,1,23,95.0
2013,1,1,25,16.0
2013,1,1,28,59.0
2013,1,1,29,2.0
2013,1,1,30,322.0
2013,1,1,33,3.0
2013,1,1,35,4.0
2013,1,1,37,63.0
2013,1,1,38,21.0
2013,1,1,40,633.0
2013,1,1,41,37.0
2013,1,1,49,3.0
2013,1,1,55,181.0
2013,1,1,56,2.0
2013,1,1,62,29.0
2013,1,1,63,14.0
2013,1,1,64,11.0
2013,1,1,65,7.0
2013,1,1,67,14.0
2013,1,1,69,7.0
2013,1,1,70,1.0
2013,1,1,72,1.0
2013,1,1,73,6.0
2013,1,1,75,52.0
2013,1,1,77,19.0
2013,1,1,81,11.0
2013,1,1,82,59.0
2013,1,1,83,6.0
2013,1,2,2,14.0
2013,1,2,3,5.0
2013,1,2,4,9.0
2013,1,2,5,5.0
2013,1,2,6,10.0
2013,1,2,11,5.0
2013,1,2,12,3.0
2013,1,2,13,4.0
2013,1,2,14,1.0
2013,1,2,15,6.0
2013,1,2,19,102.0
2013,1,2,20,3.0
2013,1,2,21,25.0
2013,1,2,22,17.0
2013,1,2,23,40.0
2013,1,2,25,2.0
2013,1,2,28,29.0
2013,1,2,29,3.0
2013,1,2,30,107.0
2013,1,2,33,2.0
2013,1,2,35,5.0
2013,1,2,37,37.0
2013,1,2,38,18.0
2013,1,2,40,99.0
2013,1,2,41,4.0
2013,1,2,43,8.0
2013,1,2,45,1.0
2013,1,2,49,13.0
2013,1,2,55,19.0
2013,1,2,57,6.0
2013,1,2,59,1.0
2013,1,2,62,8.0
2013,1,2,63,6.0
2013,1,2,64,8.0
2013,1,2,65,10.0
2013,1,2,67,20.0
2013,1,2,70,5.0
